Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Rizzi,Barbaresco Rizzi,3.5,25-29,22,41,4,4,3,3,4,3,sv,sv,sv,sv
Rizzi,Barbaresco Nervo,3.8,40-44,37,44,4,3,3,4,4,5,sv,sv,sv,sv
Rizzi,Barbaresco Boito Riserva,4.0,60-64,35,28,sv,sv,4,3,5,4,sv,4,sv,sv
Roagna,Barbaresco Paje Crichet,4.7,500-749,39,3,sv,sv,sv,sv,sv,5,5,4,sv,sv
Roagna,Barbaresco Paje Vecchie Viti,4.3,175-199,28,7,sv,sv,5,4,4,sv,sv,sv,sv,sv
Roagna,Barbaresco Albesani,4.0,100-124,6,2,sv,sv,4,sv,sv,sv,sv,sv,sv,sv
Roagna,Barbaresco Asili Vecchie Viti,4.3,175-199,28,7,sv,sv,4,4,5,sv,sv,sv,sv,sv
Roagna,Barbaresco Montefico Vecchie Viti,4.0,175-199,24,6,sv,sv,4,5,3,sv,sv,sv,sv,sv
Roagna,Barbaresco Paje,3.0,90-94,4,2,sv,sv,sv,3,3,sv,sv,sv,sv,sv
Scarpa,Barbaresco Tettineive,3.0,40-44,4,4,3,sv,sv,sv,sv,3,sv,sv,sv,sv
Silvia Rivella,Barbaresco Montestefano,4.8,90-94,89,48,5,5,5,5,5,4,sv,sv,sv,sv
Silvia Rivella,Barbaresco Fausoni,3.7,75-79,13,8,4,sv,3,4,sv,sv,sv,sv,sv,sv
Silvia Rivella,Barbaresco,3.4,50-54,17,16,sv,4,3,3,4,3,sv,sv,sv,sv
Sottimano,Barbaresco Currà,4.6,100-124,61,27,sv,sv,5,5,5,4,4,sv,sv,sv
Sottimano,Barbaresco Pajorè,4.0,70-74,56,38,5,3,3,3,5,5,sv,sv,sv,sv
Sottimano,Barbaresco Cottà,4.2,70-74,52,36,4,4,5,5,4,3,sv,sv,sv,sv
Sottimano,Barbaresco Fausoni,3.4,70-74,17,12,4,sv,3,4,3,3,sv,sv,sv,sv
