Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Cantine Bellini,Chianti,1.0,5-9,1,2,sv,sv,sv,sv,sv,1,sv,sv,sv,sv
Giocoli,Chianti Diamine,1.0,5-9,1,2,sv,sv,sv,sv,sv,1,sv,sv,sv,sv
Tenuta Vitereta,Chianti Riserva Casarossa,2.0,20-24,1,1,sv,sv,sv,sv,sv,sv,sv,2,sv,sv
Castello Oliveto,Chianti Riserva Castello Di Oliveto,2.0,5-9,1,3,sv,sv,sv,sv,sv,sv,sv,2,sv,sv
Castello Oliveto,Chianti Villa Montorsoli,1.0,5-9,1,2,sv,sv,sv,sv,sv,1,sv,sv,sv,sv
Piandaccoli,Chianti Riserva Cosmus,3.0,10-14,3,5,sv,sv,sv,sv,sv,3,sv,sv,sv,sv
San Fabiano Calcinaia,Chianti Famalgallo,1.0,10-14,1,1,sv,sv,sv,sv,sv,1,sv,sv,sv,sv
Buccia Nera,Chianti Guarniente,1.0,10-14,1,1,sv,sv,sv,sv,sv,1,sv,sv,sv,sv
Buccia Nera,Chianti Riserva Tenuta Di Cambriano,2.0,20-24,1,1,sv,sv,sv,sv,sv,sv,sv,2,sv,sv
Buccia Nera,Chianti Podere Della Filandra,1.0,10-14,1,1,sv,sv,sv,sv,sv,1,sv,sv,sv,sv
Buccia Nera,Chianti Tenuta Di Campriano,1.0,10-14,1,1,sv,sv,sv,sv,sv,1,sv,sv,sv,sv
Fattoria La Traiana,Chianti Superiore,2.0,10-14,1,2,sv,sv,sv,sv,sv,sv,2,sv,sv,sv
